,Agency,Site_No,DateTime,Flow,Value
88,USGS,06803486,2000-12-26,12.0,A:e
89,USGS,06803486,2000-12-27,11.0,A:e
90,USGS,06803486,2000-12-28,12.0,A:e
91,USGS,06803486,2000-12-29,12.0,A:e
92,USGS,06803486,2000-12-30,13.0,A:e
93,USGS,06803486,2000-12-31,12.0,A:e
94,USGS,06803486,2001-01-01,12.0,A:e
95,USGS,06803486,2001-01-02,11.0,A:e
96,USGS,06803486,2001-01-03,10.0,A:e
97,USGS,06803486,2001-01-04,11.0,A:e
98,USGS,06803486,2001-01-05,12.0,A:e
99,USGS,06803486,2001-01-06,13.0,A:e
100,USGS,06803486,2001-01-07,18.0,A:e
101,USGS,06803486,2001-01-08,21.0,A:e
102,USGS,06803486,2001-01-09,22.0,A:e
103,USGS,06803486,2001-01-10,24.0,A
104,USGS,06803486,2001-01-11,23.0,A
105,USGS,06803486,2001-01-12,25.0,A
106,USGS,06803486,2001-01-13,22.0,A
107,USGS,06803486,2001-01-14,24.0,A
108,USGS,06803486,2001-01-15,25.0,A:e
109,USGS,06803486,2001-01-16,20.0,A
110,USGS,06803486,2001-01-17,18.0,A
111,USGS,06803486,2001-01-18,24.0,A
112,USGS,06803486,2001-01-19,29.0,A
113,USGS,06803486,2001-01-20,37.0,A
114,USGS,06803486,2001-01-21,27.0,A
115,USGS,06803486,2001-01-22,27.0,A
116,USGS,06803486,2001-01-23,24.0,A
117,USGS,06803486,2001-01-24,25.0,A
118,USGS,06803486,2001-01-25,46.0,A
119,USGS,06803486,2001-01-26,32.0,A
120,USGS,06803486,2001-01-27,35.0,A
121,USGS,06803486,2001-01-28,27.0,A
122,USGS,06803486,2001-01-29,26.0,A
123,USGS,06803486,2001-01-30,22.0,A
124,USGS,06803486,2001-01-31,19.0,A
125,USGS,06803486,2001-02-01,26.0,A
126,USGS,06803486,2001-02-02,41.0,A
127,USGS,06803486,2001-02-03,26.0,A
128,USGS,06803486,2001-02-04,24.0,A
129,USGS,06803486,2001-02-05,24.0,A
130,USGS,06803486,2001-02-06,27.0,A
131,USGS,06803486,2001-02-07,26.0,A
132,USGS,06803486,2001-02-08,30.0,A
133,USGS,06803486,2001-02-09,50.0,A
134,USGS,06803486,2001-02-10,51.0,A
135,USGS,06803486,2001-02-11,46.0,A
136,USGS,06803486,2001-02-12,42.0,A
137,USGS,06803486,2001-02-13,36.0,A
138,USGS,06803486,2001-02-14,29.0,A
139,USGS,06803486,2001-02-15,25.0,A
140,USGS,06803486,2001-02-16,23.0,A
141,USGS,06803486,2001-02-17,24.0,A
142,USGS,06803486,2001-02-18,28.0,A
143,USGS,06803486,2001-02-19,27.0,A
144,USGS,06803486,2001-02-20,24.0,A
145,USGS,06803486,2001-02-21,25.0,A
146,USGS,06803486,2001-02-22,22.0,A
147,USGS,06803486,2001-02-23,26.0,A
148,USGS,06803486,2001-02-24,245,A
149,USGS,06803486,2001-02-25,370,A:e
150,USGS,06803486,2001-02-26,150,A:e
151,USGS,06803486,2001-02-27,99.0,A
152,USGS,06803486,2001-02-28,107,A
153,USGS,06803486,2001-03-01,54.0,A
154,USGS,06803486,2001-03-02,49.0,A
155,USGS,06803486,2001-03-03,114,A
156,USGS,06803486,2001-03-04,147,A
157,USGS,06803486,2001-03-05,110,A
158,USGS,06803486,2001-03-06,61.0,A
159,USGS,06803486,2001-03-07,45.0,A
160,USGS,06803486,2001-03-08,35.0,A
161,USGS,06803486,2001-03-09,37.0,A
162,USGS,06803486,2001-03-10,38.0,A
163,USGS,06803486,2001-03-11,36.0,A
164,USGS,06803486,2001-03-12,38.0,A
165,USGS,06803486,2001-03-13,48.0,A
166,USGS,06803486,2001-03-14,45.0,A
167,USGS,06803486,2001-03-15,41.0,A
168,USGS,06803486,2001-03-16,40.0,A
169,USGS,06803486,2001-03-17,39.0,A
170,USGS,06803486,2001-03-18,38.0,A
171,USGS,06803486,2001-03-19,37.0,A
172,USGS,06803486,2001-03-20,37.0,A
173,USGS,06803486,2001-03-21,37.0,A
174,USGS,06803486,2001-03-22,37.0,A
175,USGS,06803486,2001-03-23,33.0,A
176,USGS,06803486,2001-03-24,27.0,A
177,USGS,06803486,2001-03-25,25.0,A
178,USGS,06803486,2001-03-26,23.0,A
179,USGS,06803486,2001-03-27,23.0,A
180,USGS,06803486,2001-03-28,25.0,A
181,USGS,06803486,2001-03-29,26.0,A
182,USGS,06803486,2001-03-30,26.0,A
183,USGS,06803486,2001-03-31,26.0,A
184,USGS,06803486,2001-04-01,28.0,A
185,USGS,06803486,2001-04-02,27.0,A
186,USGS,06803486,2001-04-03,31.0,A
187,USGS,06803486,2001-04-04,34.0,A
188,USGS,06803486,2001-04-05,33.0,A
189,USGS,06803486,2001-04-06,33.0,A
190,USGS,06803486,2001-04-07,34.0,A
191,USGS,06803486,2001-04-08,36.0,A
192,USGS,06803486,2001-04-09,32.0,A
193,USGS,06803486,2001-04-10,30.0,A
194,USGS,06803486,2001-04-11,31.0,A
195,USGS,06803486,2001-04-12,35.0,A
196,USGS,06803486,2001-04-13,34.0,A
197,USGS,06803486,2001-04-14,30.0,A
198,USGS,06803486,2001-04-15,29.0,A
199,USGS,06803486,2001-04-16,29.0,A
200,USGS,06803486,2001-04-17,30.0,A
201,USGS,06803486,2001-04-18,29.0,A
202,USGS,06803486,2001-04-19,28.0,A
203,USGS,06803486,2001-04-20,26.0,A
204,USGS,06803486,2001-04-21,26.0,A
205,USGS,06803486,2001-04-22,37.0,A
206,USGS,06803486,2001-04-23,34.0,A
207,USGS,06803486,2001-04-24,31.0,A
208,USGS,06803486,2001-04-25,27.0,A
209,USGS,06803486,2001-04-26,26.0,A
210,USGS,06803486,2001-04-27,25.0,A
211,USGS,06803486,2001-04-28,24.0,A
212,USGS,06803486,2001-04-29,24.0,A
213,USGS,06803486,2001-04-30,24.0,A
214,USGS,06803486,2001-05-01,25.0,A
215,USGS,06803486,2001-05-02,27.0,A:e
216,USGS,06803486,2001-05-03,110,A:e
217,USGS,06803486,2001-05-04,85.0,A
218,USGS,06803486,2001-05-05,441,A
219,USGS,06803486,2001-05-06,202,A
220,USGS,06803486,2001-05-07,92.0,A
221,USGS,06803486,2001-05-08,77.0,A
222,USGS,06803486,2001-05-09,68.0,A
223,USGS,06803486,2001-05-10,63.0,A
224,USGS,06803486,2001-05-11,58.0,A
225,USGS,06803486,2001-05-12,54.0,A
226,USGS,06803486,2001-05-13,50.0,A
227,USGS,06803486,2001-05-14,48.0,A
228,USGS,06803486,2001-05-15,46.0,A
229,USGS,06803486,2001-05-16,43.0,A
230,USGS,06803486,2001-05-17,40.0,A
231,USGS,06803486,2001-05-18,38.0,A
232,USGS,06803486,2001-05-19,35.0,A
233,USGS,06803486,2001-05-20,62.0,A
234,USGS,06803486,2001-05-21,88.0,A
235,USGS,06803486,2001-05-22,56.0,A
236,USGS,06803486,2001-05-23,45.0,A
237,USGS,06803486,2001-05-24,41.0,A
238,USGS,06803486,2001-05-25,35.0,A
239,USGS,06803486,2001-05-26,31.0,A
240,USGS,06803486,2001-05-27,28.0,A
241,USGS,06803486,2001-05-28,27.0,A
242,USGS,06803486,2001-05-29,27.0,A
243,USGS,06803486,2001-05-30,149,A
244,USGS,06803486,2001-05-31,383,A
245,USGS,06803486,2001-06-01,125,A
246,USGS,06803486,2001-06-02,81.0,A
247,USGS,06803486,2001-06-03,72.0,A
248,USGS,06803486,2001-06-04,70.0,A
249,USGS,06803486,2001-06-05,73.0,A
250,USGS,06803486,2001-06-06,73.0,A
251,USGS,06803486,2001-06-07,70.0,A
252,USGS,06803486,2001-06-08,68.0,A
253,USGS,06803486,2001-06-09,71.0,A
254,USGS,06803486,2001-06-10,83.0,A
255,USGS,06803486,2001-06-11,79.0,A
256,USGS,06803486,2001-06-12,78.0,A
257,USGS,06803486,2001-06-13,76.0,A
258,USGS,06803486,2001-06-14,978,A
259,USGS,06803486,2001-06-15,293,A
260,USGS,06803486,2001-06-16,172,A
261,USGS,06803486,2001-06-17,146,A
262,USGS,06803486,2001-06-18,134,A
263,USGS,06803486,2001-06-19,126,A
264,USGS,06803486,2001-06-20,118,A
265,USGS,06803486,2001-06-21,110,A
266,USGS,06803486,2001-06-22,101,A
267,USGS,06803486,2001-06-23,91.0,A
268,USGS,06803486,2001-06-24,84.0,A
269,USGS,06803486,2001-06-25,77.0,A
270,USGS,06803486,2001-06-26,71.0,A
271,USGS,06803486,2001-06-27,65.0,A
272,USGS,06803486,2001-06-28,58.0,A
273,USGS,06803486,2001-06-29,50.0,A
274,USGS,06803486,2001-06-30,45.0,A
275,USGS,06803486,2001-07-01,42.0,A
276,USGS,06803486,2001-07-02,37.0,A
277,USGS,06803486,2001-07-03,37.0,A
278,USGS,06803486,2001-07-04,37.0,A
279,USGS,06803486,2001-07-05,35.0,A
280,USGS,06803486,2001-07-06,32.0,A
281,USGS,06803486,2001-07-07,29.0,A
282,USGS,06803486,2001-07-08,27.0,A
283,USGS,06803486,2001-07-09,26.0,A
284,USGS,06803486,2001-07-10,26.0,A
285,USGS,06803486,2001-07-11,27.0,A
286,USGS,06803486,2001-07-12,27.0,A
287,USGS,06803486,2001-07-13,25.0,A
288,USGS,06803486,2001-07-14,22.0,A
289,USGS,06803486,2001-07-15,21.0,A
290,USGS,06803486,2001-07-16,24.0,A
291,USGS,06803486,2001-07-17,22.0,A
292,USGS,06803486,2001-07-18,19.0,A
293,USGS,06803486,2001-07-19,23.0,A
294,USGS,06803486,2001-07-20,20.0,A
295,USGS,06803486,2001-07-21,20.0,A
296,USGS,06803486,2001-07-22,20.0,A
297,USGS,06803486,2001-07-23,19.0,A
298,USGS,06803486,2001-07-24,17.0,A
299,USGS,06803486,2001-07-25,18.0,A
300,USGS,06803486,2001-07-26,17.0,A
301,USGS,06803486,2001-07-27,17.0,A
302,USGS,06803486,2001-07-28,15.0,A
303,USGS,06803486,2001-07-29,15.0,A
304,USGS,06803486,2001-07-30,16.0,A
305,USGS,06803486,2001-07-31,14.0,A
306,USGS,06803486,2001-08-01,13.0,A
307,USGS,06803486,2001-08-02,12.0,A
308,USGS,06803486,2001-08-03,11.0,A
309,USGS,06803486,2001-08-04,11.0,A
310,USGS,06803486,2001-08-05,9.90,A
311,USGS,06803486,2001-08-06,9.90,A
312,USGS,06803486,2001-08-07,9.10,A
313,USGS,06803486,2001-08-08,9.20,A
314,USGS,06803486,2001-08-09,8.90,A
315,USGS,06803486,2001-08-10,8.30,A
316,USGS,06803486,2001-08-11,7.70,A
317,USGS,06803486,2001-08-12,9.70,A
318,USGS,06803486,2001-08-13,11.0,A
319,USGS,06803486,2001-08-14,11.0,A
320,USGS,06803486,2001-08-15,18.0,A
321,USGS,06803486,2001-08-16,17.0,A
322,USGS,06803486,2001-08-17,18.0,A
323,USGS,06803486,2001-08-18,14.0,A
324,USGS,06803486,2001-08-19,14.0,A
325,USGS,06803486,2001-08-20,12.0,A
326,USGS,06803486,2001-08-21,10.0,A
327,USGS,06803486,2001-08-22,10.0,A
328,USGS,06803486,2001-08-23,11.0,A
329,USGS,06803486,2001-08-24,12.0,A
330,USGS,06803486,2001-08-25,12.0,A
331,USGS,06803486,2001-08-26,14.0,A
332,USGS,06803486,2001-08-27,12.0,A
333,USGS,06803486,2001-08-28,14.0,A
334,USGS,06803486,2001-08-29,14.0,A
335,USGS,06803486,2001-08-30,16.0,A
336,USGS,06803486,2001-08-31,15.0,A
337,USGS,06803486,2001-09-01,15.0,A
338,USGS,06803486,2001-09-02,13.0,A
339,USGS,06803486,2001-09-03,11.0,A
340,USGS,06803486,2001-09-04,11.0,A
341,USGS,06803486,2001-09-05,11.0,A
342,USGS,06803486,2001-09-06,9.50,A
343,USGS,06803486,2001-09-07,19.0,A
344,USGS,06803486,2001-09-08,22.0,A
345,USGS,06803486,2001-09-09,16.0,A
346,USGS,06803486,2001-09-10,13.0,A
347,USGS,06803486,2001-09-11,11.0,A
348,USGS,06803486,2001-09-12,9.40,A
349,USGS,06803486,2001-09-13,8.10,A
350,USGS,06803486,2001-09-14,8.40,A
351,USGS,06803486,2001-09-15,14.0,A
352,USGS,06803486,2001-09-16,13.0,A
353,USGS,06803486,2001-09-17,19.0,A
354,USGS,06803486,2001-09-18,14.0,A
355,USGS,06803486,2001-09-19,11.0,A
356,USGS,06803486,2001-09-20,10.0,A
357,USGS,06803486,2001-09-21,9.40,A
358,USGS,06803486,2001-09-22,35.0,A
359,USGS,06803486,2001-09-23,40.0,A
360,USGS,06803486,2001-09-24,10.0,A:e
361,USGS,06803486,2001-09-25,9.60,A
362,USGS,06803486,2001-09-26,11.0,A
363,USGS,06803486,2001-09-27,12.0,A
364,USGS,06803486,2001-09-28,9.80,A
365,USGS,06803486,2001-09-29,10.0,A
366,USGS,06803486,2001-09-30,9.40,A
367,USGS,06803486,2001-10-01,9.63,A
368,USGS,06803486,2001-10-02,9.92,A
369,USGS,06803486,2001-10-03,10.0,A
370,USGS,06803486,2001-10-04,10.3,A
371,USGS,06803486,2001-10-05,11.1,A
372,USGS,06803486,2001-10-06,11.9,A
373,USGS,06803486,2001-10-07,11.5,A
374,USGS,06803486,2001-10-08,11.9,A
375,USGS,06803486,2001-10-09,13.7,A
376,USGS,06803486,2001-10-10,16.7,A
377,USGS,06803486,2001-10-11,22.9,A
378,USGS,06803486,2001-10-12,19.2,A
379,USGS,06803486,2001-10-13,21.3,A
380,USGS,06803486,2001-10-14,18.4,A
381,USGS,06803486,2001-10-15,16.3,A
382,USGS,06803486,2001-10-16,66.1,A
383,USGS,06803486,2001-10-17,76.3,A
384,USGS,06803486,2001-10-18,75.0,A
385,USGS,06803486,2001-10-19,75.1,A
386,USGS,06803486,2001-10-20,74.5,A
387,USGS,06803486,2001-10-21,74.0,A
388,USGS,06803486,2001-10-22,75.8,A
389,USGS,06803486,2001-10-23,75.1,A
390,USGS,06803486,2001-10-24,71.8,A
391,USGS,06803486,2001-10-25,72.4,A
392,USGS,06803486,2001-10-26,70.6,A
393,USGS,06803486,2001-10-27,70.2,A
394,USGS,06803486,2001-10-28,70.8,A
395,USGS,06803486,2001-10-29,70.5,A
396,USGS,06803486,2001-10-30,68.7,A
397,USGS,06803486,2001-10-31,67.3,A
398,USGS,06803486,2001-11-01,64.0,A
399,USGS,06803486,2001-11-02,62.6,A
400,USGS,06803486,2001-11-03,61.0,A
401,USGS,06803486,2001-11-04,61.0,A
402,USGS,06803486,2001-11-05,64.0,A
403,USGS,06803486,2001-11-06,70.0,A
404,USGS,06803486,2001-11-07,70.0,A
405,USGS,06803486,2001-11-08,70.0,A
406,USGS,06803486,2001-11-09,69.0,A
407,USGS,06803486,2001-11-10,69.0,A
408,USGS,06803486,2001-11-11,68.6,A
409,USGS,06803486,2001-11-12,68.6,A
410,USGS,06803486,2001-11-13,68.8,A
411,USGS,06803486,2001-11-14,65.7,A
412,USGS,06803486,2001-11-15,64.3,A
413,USGS,06803486,2001-11-16,65.1,A
414,USGS,06803486,2001-11-17,63.8,A
415,USGS,06803486,2001-11-18,61.4,A
416,USGS,06803486,2001-11-19,61.6,A
417,USGS,06803486,2001-11-20,62.0,A
418,USGS,06803486,2001-11-21,64.8,A
419,USGS,06803486,2001-11-22,64.2,A
420,USGS,06803486,2001-11-23,64.5,A
421,USGS,06803486,2001-11-24,81.2,A
422,USGS,06803486,2001-11-25,83.1,A
423,USGS,06803486,2001-11-26,71.7,A
424,USGS,06803486,2001-11-27,65.8,A
425,USGS,06803486,2001-11-28,63.5,A
426,USGS,06803486,2001-11-29,63.4,A
427,USGS,06803486,2001-11-30,64.9,A
428,USGS,06803486,2001-12-01,63.7,A
429,USGS,06803486,2001-12-02,64.1,A
430,USGS,06803486,2001-12-03,64.3,A
431,USGS,06803486,2001-12-04,65.6,A
432,USGS,06803486,2001-12-05,65.6,A
433,USGS,06803486,2001-12-06,63.3,A
434,USGS,06803486,2001-12-07,62.6,A
435,USGS,06803486,2001-12-08,62.1,A
436,USGS,06803486,2001-12-09,61.0,A
437,USGS,06803486,2001-12-10,60.8,A
438,USGS,06803486,2001-12-11,71.9,A
439,USGS,06803486,2001-12-12,70.8,A
440,USGS,06803486,2001-12-13,93.6,A
441,USGS,06803486,2001-12-14,93.7,A
442,USGS,06803486,2001-12-15,91.9,A
443,USGS,06803486,2001-12-16,90.9,A
444,USGS,06803486,2001-12-17,91.0,A
445,USGS,06803486,2001-12-18,37.5,A
446,USGS,06803486,2001-12-19,22.6,A
447,USGS,06803486,2001-12-20,20.4,A
448,USGS,06803486,2001-12-21,20.0,A
449,USGS,06803486,2001-12-22,21.2,A
450,USGS,06803486,2001-12-23,20.1,A
451,USGS,06803486,2001-12-24,18.3,A:e
452,USGS,06803486,2001-12-25,16.1,A:e
453,USGS,06803486,2001-12-26,12.1,A:e
454,USGS,06803486,2001-12-27,11.5,A:e
455,USGS,06803486,2001-12-28,11.5,A:e
456,USGS,06803486,2001-12-29,9.83,A:e
457,USGS,06803486,2001-12-30,5.86,A:e
458,USGS,06803486,2001-12-31,6.43,A:e
459,USGS,06803486,2002-01-01,7.56,A:e
460,USGS,06803486,2002-01-02,9.27,A:e
461,USGS,06803486,2002-01-03,10.4,A:e
462,USGS,06803486,2002-01-04,11.5,A:e
463,USGS,06803486,2002-01-05,12.7,A:e
464,USGS,06803486,2002-01-06,15.5,A:e
465,USGS,06803486,2002-01-07,20.6,A:e
466,USGS,06803486,2002-01-08,18.0,A
467,USGS,06803486,2002-01-09,18.0,A
468,USGS,06803486,2002-01-10,20.0,A
469,USGS,06803486,2002-01-11,18.0,A:e
470,USGS,06803486,2002-01-12,19.2,A
471,USGS,06803486,2002-01-13,18.1,A
472,USGS,06803486,2002-01-14,18.0,A
473,USGS,06803486,2002-01-15,17.0,A:e
474,USGS,06803486,2002-01-16,16.0,A:e
475,USGS,06803486,2002-01-17,16.0,A:e
476,USGS,06803486,2002-01-18,18.0,A:e
477,USGS,06803486,2002-01-19,18.0,A:e
478,USGS,06803486,2002-01-20,18.0,A
479,USGS,06803486,2002-01-21,17.0,A
480,USGS,06803486,2002-01-22,16.0,A
481,USGS,06803486,2002-01-23,15.0,A
482,USGS,06803486,2002-01-24,18.0,A
483,USGS,06803486,2002-01-25,16.0,A
484,USGS,06803486,2002-01-26,14.4,A
485,USGS,06803486,2002-01-27,13.6,A
486,USGS,06803486,2002-01-28,10.0,A
487,USGS,06803486,2002-01-29,14.0,A
488,USGS,06803486,2002-01-30,17.0,A
489,USGS,06803486,2002-01-31,13.9,A:e
490,USGS,06803486,2002-02-01,11.2,A:e
491,USGS,06803486,2002-02-02,5.23,A:e
492,USGS,06803486,2002-02-03,6.86,A:e
493,USGS,06803486,2002-02-04,13.9,A:e
494,USGS,06803486,2002-02-05,11.2,A:e
495,USGS,06803486,2002-02-06,12.9,A:e
496,USGS,06803486,2002-02-07,15.0,A:e
497,USGS,06803486,2002-02-08,16.0,A
498,USGS,06803486,2002-02-09,16.9,A
499,USGS,06803486,2002-02-10,26.0,A
500,USGS,06803486,2002-02-11,20.0,A
501,USGS,06803486,2002-02-12,17.0,A
502,USGS,06803486,2002-02-13,22.0,A
503,USGS,06803486,2002-02-14,16.0,A
504,USGS,06803486,2002-02-15,16.1,A
505,USGS,06803486,2002-02-16,16.3,A
506,USGS,06803486,2002-02-17,16.3,A
507,USGS,06803486,2002-02-18,17.6,A
508,USGS,06803486,2002-02-19,17.4,A
509,USGS,06803486,2002-02-20,17.4,A
510,USGS,06803486,2002-02-21,16.2,A
511,USGS,06803486,2002-02-22,15.0,A
512,USGS,06803486,2002-02-23,14.9,A
513,USGS,06803486,2002-02-24,14.8,A
514,USGS,06803486,2002-02-25,14.0,A
515,USGS,06803486,2002-02-26,16.0,A
516,USGS,06803486,2002-02-27,16.0,A
517,USGS,06803486,2002-02-28,16.0,A
518,USGS,06803486,2002-03-01,12.0,A:e
519,USGS,06803486,2002-03-02,9.04,A:e
520,USGS,06803486,2002-03-03,10.1,A:e
521,USGS,06803486,2002-03-04,15.6,A:e
522,USGS,06803486,2002-03-05,18.0,A:e
523,USGS,06803486,2002-03-06,18.4,A
524,USGS,06803486,2002-03-07,17.1,A
525,USGS,06803486,2002-03-08,19.6,A
526,USGS,06803486,2002-03-09,29.4,A
527,USGS,06803486,2002-03-10,20.6,A
528,USGS,06803486,2002-03-11,16.2,A
529,USGS,06803486,2002-03-12,16.6,A
530,USGS,06803486,2002-03-13,18.5,A
531,USGS,06803486,2002-03-14,19.3,A
532,USGS,06803486,2002-03-15,17.7,A
533,USGS,06803486,2002-03-16,16.0,A
534,USGS,06803486,2002-03-17,16.2,A
535,USGS,06803486,2002-03-18,15.8,A
536,USGS,06803486,2002-03-19,16.0,A
537,USGS,06803486,2002-03-20,16.0,A
538,USGS,06803486,2002-03-21,15.6,A
539,USGS,06803486,2002-03-22,14.8,A
540,USGS,06803486,2002-03-23,15.7,A
541,USGS,06803486,2002-03-24,16.3,A
542,USGS,06803486,2002-03-25,17.4,A
543,USGS,06803486,2002-03-26,18.8,A
544,USGS,06803486,2002-03-27,19.9,A
545,USGS,06803486,2002-03-28,19.2,A
546,USGS,06803486,2002-03-29,17.6,A
547,USGS,06803486,2002-03-30,16.7,A
548,USGS,06803486,2002-03-31,16.3,A
549,USGS,06803486,2002-04-01,16.4,A
550,USGS,06803486,2002-04-02,16.2,A
551,USGS,06803486,2002-04-03,16.6,A
552,USGS,06803486,2002-04-04,16.6,A
553,USGS,06803486,2002-04-05,15.9,A
554,USGS,06803486,2002-04-06,15.5,A
555,USGS,06803486,2002-04-07,15.8,A
556,USGS,06803486,2002-04-08,16.7,A
557,USGS,06803486,2002-04-09,16.0,A
558,USGS,06803486,2002-04-10,15.3,A
559,USGS,06803486,2002-04-11,15.1,A
560,USGS,06803486,2002-04-12,15.0,A
561,USGS,06803486,2002-04-13,14.4,A
562,USGS,06803486,2002-04-14,14.4,A
563,USGS,06803486,2002-04-15,13.8,A
564,USGS,06803486,2002-04-16,14.8,A
565,USGS,06803486,2002-04-17,16.0,A
566,USGS,06803486,2002-04-18,15.8,A
567,USGS,06803486,2002-04-19,14.1,A
568,USGS,06803486,2002-04-20,14.3,A
569,USGS,06803486,2002-04-21,15.2,A
570,USGS,06803486,2002-04-22,14.9,A
571,USGS,06803486,2002-04-23,15.2,A
572,USGS,06803486,2002-04-24,14.0,A
573,USGS,06803486,2002-04-25,13.5,A
574,USGS,06803486,2002-04-26,14.1,A
575,USGS,06803486,2002-04-27,24.6,A
576,USGS,06803486,2002-04-28,19.9,A
577,USGS,06803486,2002-04-29,17.8,A
578,USGS,06803486,2002-04-30,16.1,A
579,USGS,06803486,2002-05-01,14.2,A
580,USGS,06803486,2002-05-02,13.2,A
581,USGS,06803486,2002-05-03,12.8,A
582,USGS,06803486,2002-05-04,12.2,A
583,USGS,06803486,2002-05-05,12.4,A
584,USGS,06803486,2002-05-06,43.1,A
585,USGS,06803486,2002-05-07,45.9,A
586,USGS,06803486,2002-05-08,18.7,A
587,USGS,06803486,2002-05-09,15.3,A
588,USGS,06803486,2002-05-10,14.3,A
589,USGS,06803486,2002-05-11,76.1,A
590,USGS,06803486,2002-05-12,122,A
591,USGS,06803486,2002-05-13,40.3,A
592,USGS,06803486,2002-05-14,29.6,A
593,USGS,06803486,2002-05-15,24.4,A
594,USGS,06803486,2002-05-16,23.5,A
595,USGS,06803486,2002-05-17,22.2,A
596,USGS,06803486,2002-05-18,21.0,A
597,USGS,06803486,2002-05-19,20.1,A
598,USGS,06803486,2002-05-20,20.2,A
599,USGS,06803486,2002-05-21,19.5,A
600,USGS,06803486,2002-05-22,20.1,A
601,USGS,06803486,2002-05-23,25.0,A
602,USGS,06803486,2002-05-24,25.0,A
603,USGS,06803486,2002-05-25,33.0,A
